1,7.539,11.209,16.971,35.718,0.000,4.235,2.150,2.023,2.028,
1,7.530,11.066,17.035,35.631,0.000,4.270,2.048,2.025,1.949,
2,7.527,11.141,17.053,35.721,0.000,4.289,2.173,1.980,2.068,
3,7.544,11.368,17.075,35.988,0.000,4.259,2.097,2.010,2.005,
4,7.585,11.402,16.979,35.966,0.000,4.202,2.123,2.017,2.028,
5,7.548,11.141,17.038,35.728,0.000,4.241,2.163,2.017,2.050,
6,7.543,11.200,17.003,35.746,0.000,4.225,2.136,2.014,2.009,
7,0.448,3.992,4.421,8.861,0.000,1.668,0.440,0.146,0.416,
8,7.544,11.728,17.020,36.292,0.000,4.237,2.176,2.018,2.076,
9,7.537,11.347,17.121,36.004,0.000,4.276,2.178,2.017,2.075,
