1,0.000121,0.208056,0.003706,0.210097,0.000000,0.002325,0.005912,0.000433,0.003969,
1,0.000307,0.013798,0.008351,0.030806,0.000000,0.004850,0.010041,0.000628,0.013263,
2,0.000432,0.014916,0.007123,0.017768,0.000000,0.003837,0.003071,0.000769,0.002027,
3,0.000177,0.445621,0.014329,0.376525,0.000000,0.003797,0.015444,0.000275,0.018922,
4,0.000201,0.528168,0.010603,0.490975,0.000000,0.004208,0.007860,0.000808,0.010018,
5,0.000222,0.017300,0.032296,0.083541,0.000000,0.002767,0.011367,0.001217,0.005322,
6,0.000450,0.008616,0.015331,0.034943,0.000000,0.006200,0.016835,0.000836,0.017123,
7,0.334836,26.564774,32.573704,130.872328,0.000000,4.636245,0.324660,0.035393,0.290174,
8,0.000227,0.939502,0.005182,1.006862,0.000000,0.002952,0.003886,0.000305,0.002428,
9,0.000188,0.435408,0.011158,0.420112,0.000000,0.003531,0.001688,0.000203,0.000721,
